name,year,team_name,age,lg_name,pos_name,PTS,AST,cid
Alaa Abdelnaby,1991,Portland Trail Blazers,22,NBA,PF,135,12,0
Alaa Abdelnaby,1992,Portland Trail Blazers,23,NBA,PF,432,30,1
Alaa Abdelnaby,1993,TOT,24,NBA,PF,578,27,2
Alaa Abdelnaby,1994,Boston Celtics,25,NBA,PF,64,3,3
Alaa Abdelnaby,1995,TOT,26,NBA,PF,256,13,4
Zaid Abdul-Aziz,1969,TOT,22,NBA,C,358,37,5
Zaid Abdul-Aziz,1970,Milwaukee Bucks,23,NBA,PF,593,62,6
Zaid Abdul-Aziz,1971,Oklahoma City Thunder,24,NBA,C,665,42,7
Zaid Abdul-Aziz,1972,Oklahoma City Thunder,25,NBA,C,798,124,8
Zaid Abdul-Aziz,1973,Houston Rockets,26,NBA,C,417,53,9
Zaid Abdul-Aziz,1974,Houston Rockets,27,NBA,C,865,166,10
Zaid Abdul-Aziz,1975,Houston Rockets,28,NBA,C,629,84,11
Zaid Abdul-Aziz,1976,Oklahoma City Thunder,29,NBA,C,86,16,12
Zaid Abdul-Aziz,1977,Los Angeles Clippers,30,NBA,C,83,7,13
Zaid Abdul-Aziz,1978,TOT,31,NBA,C,63,10,14
Kareem Abdul-Jabbar,1970,Milwaukee Bucks,22,NBA,C,2361,337,15
Kareem Abdul-Jabbar,1971,Milwaukee Bucks,23,NBA,C,2596,272,16
Kareem Abdul-Jabbar,1972,Milwaukee Bucks,24,NBA,C,2822,370,17
Kareem Abdul-Jabbar,1973,Milwaukee Bucks,25,NBA,C,2292,379,18
Kareem Abdul-Jabbar,1974,Milwaukee Bucks,26,NBA,C,2191,386,19
Kareem Abdul-Jabbar,1975,Milwaukee Bucks,27,NBA,C,1949,264,20
Kareem Abdul-Jabbar,1976,Los Angeles Lakers,28,NBA,C,2275,413,21
Kareem Abdul-Jabbar,1977,Los Angeles Lakers,29,NBA,C,2152,319,22
Kareem Abdul-Jabbar,1978,Los Angeles Lakers,30,NBA,C,1600,269,23
Kareem Abdul-Jabbar,1979,Los Angeles Lakers,31,NBA,C,1903,431,24
Kareem Abdul-Jabbar,1980,Los Angeles Lakers,32,NBA,C,2034,371,25
Kareem Abdul-Jabbar,1981,Los Angeles Lakers,33,NBA,C,2095,272,26
Kareem Abdul-Jabbar,1982,Los Angeles Lakers,34,NBA,C,1818,225,27
Kareem Abdul-Jabbar,1983,Los Angeles Lakers,35,NBA,C,1722,200,28
Kareem Abdul-Jabbar,1984,Los Angeles Lakers,36,NBA,C,1717,211,29
Kareem Abdul-Jabbar,1985,Los Angeles Lakers,37,NBA,C,1735,249,30
Kareem Abdul-Jabbar,1986,Los Angeles Lakers,38,NBA,C,1846,280,31
Kareem Abdul-Jabbar,1987,Los Angeles Lakers,39,NBA,C,1366,203,32
Kareem Abdul-Jabbar,1988,Los Angeles Lakers,40,NBA,C,1165,135,33
