breakdown,breakdown_value,measure,sig,impact,insight,insight_type,score,iid,sid,fcpE_mds,fcpE_se,fcpE_iso,fcpE_tsne,x,y,rdcE_mds,rdcE_se,rdcE_iso,rdcE_tsne
year,-1,PTS,0.2306431,0.029085014,Trend,Shape,0.006708258000000001,0,182498,"[0.26055959027811487, 0.02741656186354479]","[-0.004798114621285187, -0.0054935098873522496]","[1.6168721611542993e-05, -0.004821570139075147]","[-3.521301031112671, 13.040169715881348]",-3.521301031112672,13.040169715881348,"[-9.501968958584602, -23.937653902809707]","[-0.0009269529712445871, 8.177530608686023e-18]","[19.48968347173668, 0.19581127365354598]","[10.956121444702148, -3.01332688331604]"
year,-1,PTS,0.2306431,0.029085014,Trend,Shape,0.006708258000000001,1,25278,"[0.2603715083377199, 0.030528430973996757]","[-0.004798114621285192, -0.0054935098873522496]","[1.6168721611544643e-05, -0.0048215701390751245]","[-3.521301031112671, 13.040170669555664]",-3.521301031112672,13.040170669555664,"[-9.501968956822207, -23.937653904363756]","[-0.0009269529712445885, 9.81304565131352e-18]","[19.489683471736672, 0.19581127365354598]","[10.956117630004883, -3.013309955596924]"
lg_name,NBA,PTS,0.952209648,0.029085014,Attribution,Point,0.027695031,211,25278,"[0.2603555949781514, 0.030070298925720072]","[-0.0047981146212851865, -0.005493509887352255]","[1.616872161154455e-05, -0.004821570139075116]","[-3.521300792694092, 13.040172576904297]",-3.521300792694092,13.040172576904295,"[-9.501968952001478, -23.937653908615086]","[-0.0009269529712445873, 6.5420168423030755e-18]","[19.489683471736665, 0.19581127365354323]","[10.9561185836792, -3.013310432434082]"
year,-1,PTS,0.554993282,0.025127545,Trend,Shape,0.013945619,2,58102,"[0.26939385304080055, 0.027292018252620086]","[-0.004798114621285183, -0.00561211162684498]","[0.00012994222515557008, -0.0002035932620526232]","[-4.491697311401367, 14.5731201171875]",-4.491697311401367,14.5731201171875,"[-12.970079519334472, -29.245216160183492]","[-0.0009269529712445886, 1.195884518170613e-17]","[35.91906149787887, 0.3180905920708266]","[8.208108901977539, -3.8592729568481445]"
year,-1,AST,0.563454207,0.025127545,Trend,Shape,0.014158221,306,58102,"[0.26939387840242607, 0.027291601213125224]","[-0.0047981146212851865, -0.005612111626844985]","[0.00012994222515556937, -0.0002035932620526202]","[-4.491683006286621, 14.572351455688477]",-4.491683006286621,14.572351455688475,"[-12.970079519316748, -29.245216160294927]","[-0.0009269529712445851, 7.17529377568258e-18]","[35.91906149787889, 0.31809059207081564]","[8.208199501037598, -3.85927414894104]"
year,-1,PTS,0.288189199,0.027988366,Trend,Shape,0.008065945,3,25253,"[0.2638287530458855, 0.01920579174774333]","[-0.004798114621285185, -0.005493509887352248]","[4.1640142631349786e-05, -0.016309076451935793]","[-5.6765217781066895, 13.728450775146484]",-5.6765217781066895,13.728450775146484,"[-17.629655890447136, -25.829014270158243]","[-0.0009269529712445907, -2.2093554684783154e-23]","[-14.6559848301572, -23.906847834325966]","[9.467049598693848, -2.820172071456909]"
lg_name,NBA,PTS,0.952209648,0.027988366,Attribution,Point,0.026650792000000003,208,25253,"[0.262268326651774, 0.03159108893511493]","[-0.004798114621285184, -0.005493509887352257]","[4.164014263134934e-05, -0.0163090764519358]","[-5.677675247192383, 13.728490829467773]",-5.677675247192383,13.728490829467773,"[-17.62965588898134, -25.82901426862926]","[-0.0009269529712445907, 2.3917544216008405e-18]","[-14.655984830157205, -23.906847834325973]","[9.470185279846191, -2.820173740386963]"
year,-1,AST,0.3891603489999999,0.027988366,Trend,Shape,0.010891962,308,25253,"[0.26382850490835824, 0.019231483194334636]","[-0.004798114621285196, -0.005493509887352253]","[4.164014263135304e-05, -0.016309076451935803]","[-5.677677631378174, 13.728540420532227]",-5.677677631378174,13.728540420532227,"[-17.62965588904196, -25.829014268692546]","[-0.0009269529712445886, 6.378044093528315e-18]","[-14.655984830157205, -23.906847834325973]","[9.469778060913086, -2.820173740386963]"
year,-1,PTS,0.157219204,0.042864635,Trend,Shape,0.006739144,4,314680,"[0.27137534560646187, 0.05899448427469866]","[-0.0047981146212851865, -0.006252607913633656]","[0.0001596429384032689, -2.456157517524213e-05]","[-5.803666114807129, 20.42496681213379]",-5.803666114807129,20.42496681213379,"[-20.761207697974392, -44.30503116003427]","[-0.0009269529712445933, -8.097106396865771e-18]","[-10.12319311699516, -6.670440300837546]","[7.56349515914917, -7.756052017211914]"
age,25,PTS,0.908484036,0.042864635,Top1,Point,0.038941837,60,314680,"[0.2714429732906181, 0.05885682025066677]","[-0.0047981146212851935, -0.006252607913633659]","[0.0001596429384032687, -2.4561575175242776e-05]","[-5.803667068481445, 20.424970626831055]",-5.803667068481445,20.42497062683105,"[-20.761207697946528, -44.30503116004911]","[-0.0009269529712445925, -1.0121389799199257e-17]","[-10.123193116995164, -6.6704403008375435]","[7.563494682312012, -7.756052017211914]"
