breakdown,breakdown_value,measure,sig,impact,insight,insight_type,score,iid,sid,name,year,team_name,age,lg_name,pos_name,id,x,y
year,-1,PTS,0.2306431,0.029085014,Trend,Shape,0.006708258,0,182498,*,*,Chicago Bulls,*,NBA,*,0,35.154686,-55.21606
year,-1,PTS,0.2306431,0.029085014,Trend,Shape,0.006708258,1,25278,*,*,Chicago Bulls,*,*,*,1,-73.03,3.0225687
lg_name,NBA,PTS,0.952209648,0.029085014,Attribution,Point,0.027695031,211,25278,*,*,Chicago Bulls,*,*,*,2,-12.924828,-20.833511
year,-1,PTS,0.554993282,0.025127545,Trend,Shape,0.013945619,2,58102,*,*,*,21,*,*,3,34.925297,43.937202
year,-1,AST,0.563454207,0.025127545,Trend,Shape,0.014158221,306,58102,*,*,*,21,*,*,4,-23.190832,56.8027
year,-1,PTS,0.288189199,0.027988366,Trend,Shape,0.008065945,3,25253,*,*,Portland Trail Blazers,*,*,*,5,-72.67305,2.353831
lg_name,NBA,PTS,0.952209648,0.027988366,Attribution,Point,0.026650792,208,25253,*,*,Portland Trail Blazers,*,*,*,6,-14.126513,-20.033157
year,-1,AST,0.3891603489999999,0.027988366,Trend,Shape,0.010891962,308,25253,*,*,Portland Trail Blazers,*,*,*,7,14.730853,-65.19764
year,-1,PTS,0.157219204,0.042864635,Trend,Shape,0.006739144,4,314680,*,*,*,*,*,no pos,8,-4.426564,-48.760227
age,25,PTS,0.908484036,0.042864635,Top1,Point,0.038941837,60,314680,*,*,*,*,*,no pos,9,-0.71513593,38.967472
year,1950,PTS,0.999991334,0.042864635,Top1,Point,0.042864264,62,314680,*,*,*,*,*,no pos,10,-4.696884,-48.678627
team_name,TOT,PTS,1.0,0.042864635,Top1,Point,0.042864635,65,314680,*,*,*,*,*,no pos,11,-0.84959656,39.05152
year,1952,PTS,1.0,0.042864635,Change Point,Shape,0.042864635,119,314680,*,*,*,*,*,no pos,12,-4.426585,-48.76044
year,1950,PTS,0.999561154,0.042864635,Outlier,Shape,0.042845825,172,314680,*,*,*,*,*,no pos,13,-4.69696,-48.67859
team_name,TOT,AST,1.0,0.042864635,Top1,Point,0.042864635,350,314680,*,*,*,*,*,no pos,14,70.69925,-11.060416
year,1952,AST,1.0,0.042864635,Change Point,Shape,0.042864635,419,314680,*,*,*,*,*,no pos,15,-26.245726,-69.149895
