breakdown,breakdown_value,measure,sig,impact,insight,insight_type,score,iid,sid,name,year,team_name,age,lg_name,pos_name,index,x,y
year,-1,PTS,0.2306431,0.029085014,Trend,Shape,0.006708258,0,182498,*,*,Chicago Bulls,*,NBA,*,0,5.5858865,21.546503
year,-1,PTS,0.2306431,0.029085014,Trend,Shape,0.006708258,1,25278,*,*,Chicago Bulls,*,*,*,1,49.061245,41.807743
lg_name,NBA,PTS,0.952209648,0.029085014,Attribution,Point,0.027695031,211,25278,*,*,Chicago Bulls,*,*,*,2,15.080711,0.95226735
year,-1,PTS,0.554993282,0.025127545,Trend,Shape,0.013945619,2,58102,*,*,*,21,*,*,3,-19.144653,38.417126
year,-1,AST,0.563454207,0.025127545,Trend,Shape,0.014158221,306,58102,*,*,*,21,*,*,4,-61.100174,15.816555
year,-1,PTS,0.288189199,0.027988366,Trend,Shape,0.008065945,3,25253,*,*,Portland Trail Blazers,*,*,*,5,49.45185,41.108498
lg_name,NBA,PTS,0.952209648,0.027988366,Attribution,Point,0.026650792,208,25253,*,*,Portland Trail Blazers,*,*,*,6,13.825827,1.6090574
year,-1,AST,0.3891603489999999,0.027988366,Trend,Shape,0.010891962,308,25253,*,*,Portland Trail Blazers,*,*,*,7,-34.148003,6.1386185
year,-1,PTS,0.157219204,0.042864635,Trend,Shape,0.006739144,4,314680,*,*,*,*,*,no pos,8,35.780247,-16.023102
age,25,PTS,0.908484036,0.042864635,Top1,Point,0.038941837,60,314680,*,*,*,*,*,no pos,9,-58.689632,-14.942001
year,1950,PTS,0.999991334,0.042864635,Top1,Point,0.042864264,62,314680,*,*,*,*,*,no pos,10,35.77935,-16.023127
team_name,TOT,PTS,1.0,0.042864635,Top1,Point,0.042864635,65,314680,*,*,*,*,*,no pos,11,-58.77209,-15.080767
year,1952,PTS,1.0,0.042864635,Change Point,Shape,0.042864635,119,314680,*,*,*,*,*,no pos,12,35.996063,-15.822247
year,1950,PTS,0.999561154,0.042864635,Outlier,Shape,0.042845825,172,314680,*,*,*,*,*,no pos,13,35.9961,-15.822251
team_name,TOT,AST,1.0,0.042864635,Top1,Point,0.042864635,350,314680,*,*,*,*,*,no pos,14,-15.94084,62.06372
year,1952,AST,1.0,0.042864635,Change Point,Shape,0.042864635,419,314680,*,*,*,*,*,no pos,15,32.215305,22.022327
year,1950,AST,0.999930296,0.042864635,Outlier,Shape,0.0428616479999999,472,314680,*,*,*,*,*,no pos,16,32.214634,22.021696
year,-1,PTS,0.42477169,0.059457398,Trend,Shape,0.025255819,5,215459,*,*,*,29,NBA,*,17,-33.038155,-52.771656
year,1957,PTS,1.0,0.059457398,Change Point,Shape,0.059457398,136,215459,*,*,*,29,NBA,*,18,-33.04019,-52.77106
year,1989,PTS,0.982426645,0.059457398,Outlier,Shape,0.058412532,195,215459,*,*,*,29,NBA,*,19,-33.039772,-52.771206
year,-1,AST,0.376399163,0.059457398,Trend,Shape,0.022379715,321,215459,*,*,*,29,NBA,*,20,4.329117,-59.504093
pos_name,PG,AST,0.974785015,0.059457398,Top1,Point,0.05795818,357,215459,*,*,*,29,NBA,*,21,4.732371,69.95695
year,1960,AST,1.0,0.059457398,Change Point,Shape,0.059457398,436,215459,*,*,*,29,NBA,*,22,4.329116,-59.503193
year,1992,AST,0.986130342,0.059457398,Outlier,Shape,0.058632744,490,215459,*,*,*,29,NBA,*,23,4.329123,-59.5048
year,-1,PTS,0.488896481,0.052066943,Trend,Shape,0.025455345,6,215460,*,*,*,30,NBA,*,24,-34.288006,-55.175198
year,1958,PTS,1.0,0.052066943,Change Point,Shape,0.052066943,105,215460,*,*,*,30,NBA,*,25,-34.28804,-55.174686
year,1990,PTS,0.980043658,0.052066943,Outlier,Shape,0.051027877,190,215460,*,*,*,30,NBA,*,26,-34.289433,-55.174946
year,-1,AST,0.437156851,0.052066943,Trend,Shape,0.022761421,305,215460,*,*,*,30,NBA,*,27,3.9884336,-65.0453
pos_name,PG,AST,0.993033563,0.052066943,Top1,Point,0.051704222,358,215460,*,*,*,30,NBA,*,28,4.8532076,70.59807
year,1992,AST,1.0,0.052066943,Change Point,Shape,0.052066943,405,215460,*,*,*,30,NBA,*,29,3.9884334,-65.04452
year,1996,AST,0.984582594,0.052066943,Outlier,Shape,0.051264206,492,215460,*,*,*,30,NBA,*,30,3.988387,-65.04641
year,-1,PTS,0.59279884,0.023649454,Trend,Shape,0.0140193689999999,7,215472,*,*,*,21,NBA,*,31,-38.108776,-56.1281
year,-1,AST,0.583803903,0.023649454,Trend,Shape,0.013806644,307,215472,*,*,*,21,NBA,*,32,7.1627507,-64.34515
year,-1,PTS,0.300473186,0.028226768,Trend,Shape,0.008481387,8,182475,*,*,Milwaukee Bucks,*,NBA,*,33,6.2918816,21.562454
year,-1,AST,0.390980295,0.028226768,Trend,Shape,0.01103611,342,182475,*,*,Milwaukee Bucks,*,NBA,*,34,64.236725,-27.655031
year,-1,PTS,0.288189199,0.027988366,Trend,Shape,0.008065945,9,182472,*,*,Portland Trail Blazers,*,NBA,*,35,6.2918816,21.562454
year,-1,AST,0.3891603489999999,0.027988366,Trend,Shape,0.010891962,304,182472,*,*,Portland Trail Blazers,*,NBA,*,36,64.03051,-28.00137
year,-1,PTS,0.488706245,0.027749964,Trend,Shape,0.013561581,10,58093,*,*,*,33,*,*,37,-19.074306,38.347607
lg_name,NBA,PTS,0.944003542,0.027749964,Attribution,Point,0.026196065,201,58093,*,*,*,33,*,*,38,66.38926,18.93251
year,-1,AST,0.460958895,0.027749964,Trend,Shape,0.012791593,322,58093,*,*,*,33,*,*,39,-61.136623,15.721019
year,-1,PTS,0.245873326,0.104467649,Trend,Shape,0.0256858079999999,11,58085,*,*,*,25,*,*,40,-13.235965,35.891518
